City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
158,Marau,-28.45,-52.2,71.4,40,7,8.03,clear sky,BR,2020-11-01 20:14:14
159,Saint Anthony,45.02,-93.22,37.99,34,1,12.75,clear sky,US,2020-11-01 20:10:34
160,Rosoman,41.52,21.95,44.6,87,0,2.24,clear sky,MK,2020-11-01 20:14:15
161,Palmas,-10.21,-48.36,86.0,66,40,5.82,shower rain,BR,2020-11-01 20:14:15
162,Hualmay,-11.1,-77.61,68.34,66,70,9.86,broken clouds,PE,2020-11-01 20:14:15
163,Ngunguru,-35.62,174.5,66.0,88,69,1.01,broken clouds,NZ,2020-11-01 20:14:15
164,Dalbandin,28.89,64.41,52.57,30,0,6.08,clear sky,PK,2020-11-01 20:14:15
165,Mananjary,-21.22,48.33,68.99,72,99,3.49,overcast clouds,MG,2020-11-01 20:14:16
166,Hambantota,6.12,81.12,78.8,100,90,1.12,overcast clouds,LK,2020-11-01 20:14:16
167,Mount Isa,-20.73,139.5,64.4,23,0,1.12,clear sky,AU,2020-11-01 20:11:00
168,Mogadishu,2.04,45.34,79.84,80,100,10.94,light rain,SO,2020-11-01 20:14:16
169,Ushumun,52.78,126.53,17.76,97,100,14.0,light snow,RU,2020-11-01 20:12:06
170,Saint-Francois,46.42,3.91,64.4,68,90,6.93,overcast clouds,FR,2020-11-01 20:14:16
171,Flinders,-34.58,150.86,61.0,85,74,4.0,broken clouds,AU,2020-11-01 20:14:17
172,Pingliang,35.54,106.69,38.41,63,0,3.33,clear sky,CN,2020-11-01 20:14:17
173,Constantine,36.37,6.61,59.0,62,0,1.12,clear sky,DZ,2020-11-01 20:14:17
174,Ribeira Grande,38.52,-28.7,62.6,82,75,8.05,broken clouds,PT,2020-11-01 20:10:06
175,Iralaya,15.0,-83.23,81.68,83,44,13.35,moderate rain,HN,2020-11-01 20:14:17
176,San Cristobal,7.77,-72.22,86.0,58,40,4.7,scattered clouds,VE,2020-11-01 20:09:58
177,Provideniya,64.38,-173.3,15.8,72,0,2.57,clear sky,RU,2020-11-01 20:14:18
178,Nizhniy Odes,63.64,54.86,26.06,97,86,6.8,overcast clouds,RU,2020-11-01 20:14:18
179,Kloulklubed,7.04,134.26,75.2,100,75,4.23,broken clouds,PW,2020-11-01 20:14:18
180,Imbituba,-28.24,-48.67,69.8,52,40,14.99,scattered clouds,BR,2020-11-01 20:10:35
181,Orsha,54.52,30.41,41.58,86,100,7.92,overcast clouds,BY,2020-11-01 20:14:18
182,Abu Samrah,35.3,37.18,61.75,78,29,4.27,scattered clouds,SY,2020-11-01 20:14:19
183,Pocone,-16.26,-56.62,89.49,43,12,6.69,few clouds,BR,2020-11-01 20:09:20
184,Castro,-24.79,-50.01,64.69,62,27,8.52,light rain,BR,2020-11-01 20:10:16
185,Surgut,61.25,73.42,32.0,97,40,13.42,scattered clouds,RU,2020-11-01 20:12:45
186,Brae,60.4,-1.35,50.0,71,20,26.4,few clouds,GB,2020-11-01 20:14:19
187,Nanortalik,60.14,-45.24,30.07,86,0,29.04,clear sky,GL,2020-11-01 20:10:04
188,Hohhot,40.81,111.65,28.4,42,0,4.47,clear sky,CN,2020-11-01 20:14:20
189,Kapoeta,4.77,33.59,82.83,45,9,10.2,clear sky,SS,2020-11-01 20:14:20
190,Guerrero Negro,27.98,-114.06,81.32,36,22,10.51,few clouds,MX,2020-11-01 20:13:42
191,Gloucester,51.87,-2.24,63.0,83,100,26.22,light rain,GB,2020-11-01 20:14:20
192,Vostok,46.49,135.88,29.17,99,89,3.27,overcast clouds,RU,2020-11-01 20:14:21
193,Wadi Musa,30.32,35.48,55.56,83,35,1.05,scattered clouds,JO,2020-11-01 20:14:21
194,Haines Junction,60.75,-137.51,12.2,66,100,3.36,overcast clouds,CA,2020-11-01 20:14:21
195,Sept-Iles,50.2,-66.38,37.4,64,100,4.7,moderate rain,CA,2020-11-01 20:14:22
196,Vardo,70.37,31.11,39.2,86,75,26.4,broken clouds,NO,2020-11-01 20:14:22
197,Broome,42.25,-75.83,48.99,87,90,14.99,moderate rain,US,2020-11-01 20:10:39
198,Airai,-8.93,125.41,60.37,79,98,2.17,overcast clouds,TL,2020-11-01 20:14:23
199,Hurghada,27.26,33.81,74.25,74,0,10.74,clear sky,EG,2020-11-01 20:14:23
200,Opuwo,-18.06,13.84,75.47,29,57,9.4,broken clouds,NA,2020-11-01 20:14:23
201,Ferme-Neuve,46.7,-75.45,41.0,100,100,5.82,moderate rain,CA,2020-11-01 20:14:24
202,Tomatlan,19.93,-105.25,91.09,56,0,7.25,clear sky,MX,2020-11-01 20:14:24
203,Eucaliptus,-17.58,-67.52,65.82,25,42,3.4,scattered clouds,BO,2020-11-01 20:14:24
204,Kingman,35.19,-114.05,86.0,10,1,9.17,clear sky,US,2020-11-01 20:11:59
205,Muisne,0.6,-80.03,82.4,78,40,13.87,scattered clouds,EC,2020-11-01 20:14:24
