City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,San Vicente,AR,75.45,overcast clouds,-26.62,-54.13,Complejo Turístico Farelluk
389,Gravata,BR,76.66,overcast clouds,-8.2,-35.56,Oasis Boutique Hotel & Spa
400,Mozarlandia,BR,86.41,scattered clouds,-14.74,-50.57,Hotel Santa Mônica
403,Veraval,IN,79.34,broken clouds,20.9,70.37,Lords Inn Somnath
408,Come,BJ,79.11,broken clouds,6.41,1.88,Hôtel la concorde chez Mehinnou
409,Garoua,CM,86.0,clear sky,9.3,13.4,Hotel De L'Amitie
410,Qandala,SO,79.03,clear sky,11.47,49.87,
412,Luganville,VU,78.8,broken clouds,-15.53,167.17,The Espiritu Hotel
414,Doha,QA,80.6,clear sky,25.29,51.53,Doha Marriott Hotel
415,Polonnaruwa,LK,77.4,light rain,7.93,81.0,Thisara Guest House
424,San Patricio,US,82.99,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
426,Matara,LK,76.89,clear sky,5.95,80.54,Amaloh Boutique Resort
427,Ugoofaaru,MV,82.31,scattered clouds,5.67,73.0,Ungoofaaru Inn
430,Illapel,CL,75.56,clear sky,-31.63,-71.17,Hotel Londres
432,Todos Santos,MX,82.0,clear sky,23.45,-110.22,Hotel California Todos Santos
435,Salinas,US,80.6,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
437,Sabang,ID,81.59,overcast clouds,5.89,95.32,Hotel Citra
438,Ovalle,CL,78.78,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
440,Paciran,ID,77.43,moderate rain,-6.88,112.38,Tanjung Kodok Beach Resort
443,Santo Antonio,BR,84.2,scattered clouds,-6.31,-35.48,Hotel Onça Puma
447,Qeshm,IR,75.2,clear sky,26.96,56.27,Kimia IV Hotel
450,Port Hueneme,US,75.2,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
454,San Rafael,AR,85.23,clear sky,-34.62,-68.33,Hotel San Rafael
457,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
461,Aripuana,BR,75.58,overcast clouds,-9.17,-60.63,
